FIPS,trump_vs_senate,trump_vs_house
13223,-7.203926971,-0.942576374
13225,-7.413844785,1.888778701
13227,-3.031486215,-4.583714108
13229,-5.705102285,-0.626903489
13231,-2.527714878,-1.107751847
13233,-5.136948991,-0.361471375
13235,-6.511491575,-2.452192652
13237,-5.51153607,-1.632186819
13239,-11.04439557,5.891113826
13241,-6.195708283,-1.067156915
13243,-6.742560445,7.034967808
13245,-10.4236285,-2.470968285
13247,-5.444077365,0.998671814
13249,-4.287108101,4.396063603
13251,-8.290419168,-1.882407675
13253,-16.94372455,3.53802246
13255,-5.53460327,-1.643602214
13257,-8.762757747,-1.320736726
13259,-8.019890882,4.572447897
13261,-6.600762887,4.17538428
13263,-6.178571421,2.844484175
13265,-9.794317393,-3.072330863
13267,-7.160688191,-1.619977215
13269,-6.247955161,3.174131431
13271,-5.693395374,-0.203715738
13273,-9.762799531,5.057613259
13275,-15.29260746,-2.313610489
13277,-8.462747918,-3.851781314
13279,-6.999473134,-1.389155923
13281,-5.114732705,-0.594525093
13283,-8.535505561,-1.728518584
13285,-7.846904745,-3.262963959
13287,-8.94797078,-3.997045023
13289,-5.417833417,-0.602332615
13291,-4.477379293,-0.683861471
13293,-4.696494426,-2.266207491
13295,-10.36036676,-0.301681298
13297,-5.752246643,-1.158463909
13299,-13.06355231,-0.8136759
13301,-12.54507958,-1.16926695
13303,-8.818396829,-0.395241577
13305,-5.34000084,-0.779645611
13307,-6.832392142,4.765707544
13309,-5.3629221,-0.608233479
13311,-4.332302265,-0.818290541
13313,-14.61548816,-0.288992765
13315,-6.794811121,-1.26770328
13317,-10.94744999,-1.806743353
13319,-5.339443402,-1.39099774
13321,-5.855500671,-1.384848086
15001,,4.145462357
15003,,8.342091505
15007,,6.025605433
15009,,0.648805598
16001,-0.331482884,7.969425904
16003,19.67322063,-0.649398005
16005,2.613045015,-3.262187819
16007,0.186468813,-1.372389048
16009,3.048977695,0.308848498
16011,1.514557314,-3.566420966
16013,-1.462836795,-8.352473736
16015,1.605200444,-1.04736316
16017,-0.126322321,-1.702831746
16019,0.223043507,-5.643719604
16021,0.344835747,-0.328941078
16023,3.017294063,-0.537191868
16025,1.51018785,-4.675439951
16027,1.524378767,0.169580974
16029,1.599806715,-1.930064118
16031,0.999909285,-2.797573585
16033,0.746566238,-3.743626295
16035,0.571430128,-0.140054394
16037,0.665252447,-4.138139825
16039,2.864814917,-2.844438677
16041,-0.764011594,-2.274214717
16043,0.414248524,-2.781317963
16045,2.108772575,0.559901806
16047,1.874729577,-3.122262353
16049,0.093684109,-0.079776142
16051,0.285956616,-2.693254981
16053,1.809252041,-4.621862864
16055,-0.657455417,-1.919929377
16057,0.249428712,-1.604881813
16059,0.263020209,-3.134756678
16061,1.102008924,-0.157946902
16063,3.54341123,-4.187725653
16065,-1.955001465,-4.844101284
16067,1.278492572,-3.140319898
16069,-0.181113634,-1.383849876
16071,0.882685167,-1.887549061
16073,2.381643882,-0.632083823
16075,1.77382486,0.177381678
16077,0.890710015,-5.173326236
16079,2.263672303,0.636529173
16081,-0.323961858,-4.345262719
16083,2.030136832,-3.999022501
16085,0.600352047,-1.607320132
16087,1.542397696,0.070495575
17001,0.961753066,-5.182924281
17003,,
17005,5.989861374,2.195660936
17007,-0.500539155,-7.556784232
17009,6.115531372,-4.670340886
17011,3.733978269,-5.760970458
17013,10.59956129,-0.263010536
17015,1.968194854,6.372719512
17017,5.533592315,-5.821688685
17019,-0.707069493,-28.46066152
17021,-2.529359606,-10.31026265
17023,1.711276856,-0.28596127
